step,vehicle_count,speed,co2_emission
352,71,9.82527130238116,2881.2108428780316
353,71,9.660862784315473,2550.550608898593
354,72,9.389447386076325,2530.4370573682236
355,72,9.074273169991036,2723.003889493308
356,72,8.933784965017212,2561.3585962694506
357,73,8.903007728452577,2990.7261289119665
358,73,8.9540819222201,3068.804523936175
359,73,8.981045666943508,3058.671233503227
360,74,9.277802734525833,3447.1352201487707
361,73,9.430417794137023,2939.4715931831997
362,73,9.557679141072741,3014.6864248438005
363,74,9.425328545021111,3220.1265494099853
364,73,9.484744540202383,3162.529000132099
365,73,9.56231047868877,2958.9510533036096
366,74,9.183754229020327,2365.512060413635
367,74,8.770906940659174,2519.1675257209595
368,74,8.56299519337469,2834.1885387464135
369,75,8.131246045357669,2663.794405199605
370,74,7.949581708509047,2859.634921868228
371,73,8.134452724037653,3093.026420846064
372,73,8.083328764522768,3148.2763059737035
373,72,8.171626651271682,3079.184922819776
374,72,8.480443594354787,3615.5509011838903
375,73,8.406925493517816,3515.560783746517
376,73,8.363385163896103,3120.1472247363376
377,73,8.440646060237937,3117.81920812498
378,74,8.289686565816817,2449.9819019581064
379,74,8.43010714112128,3022.815194834543
380,73,8.407606925408427,2882.5858591483766
381,74,8.20261116197438,2734.2394492134995
382,74,8.313991850372558,2836.0404029051806
383,74,8.415374941975516,2875.56933512953
384,75,8.701438648231525,3418.8513342861265
385,75,8.81127740047284,2778.225759653662
386,74,8.74718250515195,2735.2264655930494
387,75,8.667196304669243,3036.9974722924376
388,75,8.633043449894217,3160.0931921983943
389,75,8.509308185028308,2863.827294541477
390,76,8.402546023863072,2795.1715986971612
391,76,8.478332021625818,2774.6970326889245
392,76,8.535213684513657,2797.7752878956235
393,77,7.869353145079748,2247.6988678925013
394,76,7.383322727641359,2310.6237958785027
395,76,7.284307432898054,2349.2884707119556
396,77,7.139341804806438,2481.641883848997
397,77,7.169907555024568,2763.7976713831968
398,76,7.257168163899737,2897.2646514358516
399,77,7.250226111895271,2680.6794208071738
400,76,7.079317648506714,2553.564371202518
401,72,6.775734004792138,2639.3644761271444
402,72,6.661884230961727,2778.8890887888347
403,71,6.63105800428771,2615.337489803873
404,70,6.265906270141621,2241.3189557754354
405,71,6.10531200043374,2399.223930409742
406,71,6.171056847514431,2674.2234387031494
407,71,6.219852542690975,2670.483381702231
408,72,6.322559475413557,2798.306639448667
409,72,6.568378081479761,3167.607302667331
410,72,7.038774693910689,3371.5155091425822
411,73,7.162157009423909,3116.480542094182
412,73,7.659678956482768,3374.827603501677
413,73,7.901937536938512,2995.821444779641
414,74,8.148703962271766,2955.630562342113
415,74,8.44446946816237,3173.817213865572
416,74,8.961601453715996,3803.3418018323505
417,75,9.286610665655921,3439.3386282636125
418,74,9.59196326712069,3910.292587757537
419,74,9.860493223623722,3679.913088021552
420,75,10.103600393277542,4183.30569031281
421,75,10.437797166622639,4195.394894843057
422,75,10.871465052118342,4331.99744092586
423,75,11.193197879850398,4864.258865068578
424,75,11.518234559544197,4784.533938027165
425,75,11.303441320244882,3718.937953328925
