step,vehicle_count,speed,co2_emission,congestion
1778,80,7.460916712221589,2158.0380893285687,0
1779,81,7.061490572993359,2077.780425699346,0
1780,81,6.881957678742942,2437.285797142094,0
1781,80,6.804099178433276,2633.3650777627468,0
1782,80,6.657407447362094,2753.757775035553,0
1783,79,6.818498528356936,2880.963185422209,0
1784,79,7.043494812790713,2912.410836820218,0
1785,78,7.04618420367894,2932.9192879508637,0
1786,78,7.196731322472014,2921.1061361345305,0
1787,77,7.341791722192295,2892.5196661745786,0
1788,78,7.194851943152019,2497.90935325328,0
1789,78,6.831736513587105,2292.111920693398,0
1790,78,6.588315127091325,2446.55361735105,0
1791,78,6.179925730363905,2409.7195543316534,0
1792,77,6.375824457281567,2886.848852402803,0
1793,77,6.523386738753706,2818.9176320128436,0
1794,78,6.636199849731808,2867.3748700583483,0
1795,78,6.75411158456431,2870.9617534547674,0
1796,78,6.774426773821912,2738.8915974277397,0
1797,77,6.532641245720515,2624.7471744457443,0
1798,77,6.6121858937132485,2488.3517965416704,0
1799,77,6.5832218461939584,2389.339522610066,0
1800,77,6.535087941267963,2633.137577388032,0
1801,76,6.579917933709034,2535.52467580634,0
1802,76,6.746089755323058,2870.9769555981134,0
1803,77,6.651166551363974,2665.768551578869,0
1804,77,6.534703428339922,2711.4439844246153,0
1805,77,6.379614542653102,2411.2468187179106,0
1806,77,6.5667063203215905,3227.86963807685,0
1807,77,6.811237678003551,3166.642485334539,0
1808,77,7.049883835746831,3345.4065348018485,0
1809,78,7.3889457970878105,3646.6088845450877,0
1810,77,7.633218945903384,3705.9103196986184,0
1811,77,7.711956326215231,3310.8331232578357,0
1812,77,7.704014574424676,3465.2841758502855,0
1813,77,7.784907434154799,3050.5331842087844,0
1814,76,7.691370661879202,2947.3503940788487,0
1815,77,7.555465012207518,2707.202674347209,0
1816,77,7.499497010260031,2290.9324255232614,0
1817,77,7.294837038640799,2459.5774884972043,0
1818,78,6.992468035536706,2264.677906158645,0
1819,78,7.082277821856812,2404.2354870976,0
1820,78,7.075179894185976,2174.9768070474006,0
1821,78,6.973031886935544,2636.191572756821,0
1822,77,6.987848748174851,2488.8759777408313,0
1823,77,6.966457954769565,2527.4146652287964,0
1824,78,6.718901994331391,2134.7761789892074,0
1825,78,6.409683062512208,2105.2066090052263,0
1826,78,6.166868729390528,2037.665598421084,0
1827,79,5.856365953491744,2118.652483353014,0
1828,79,6.025334088904259,2677.0682532310943,0
1829,78,6.181914423734385,2620.9779191925236,0
1830,79,6.482511467798471,2935.563134833059,0
1831,78,6.831083030923378,3181.7843573692235,0
1832,77,7.062131125915377,2915.689881742737,0
1833,78,7.2307153478548845,3105.2311609913077,0
1834,77,7.393345051294706,2868.760090384412,0
1835,77,7.630968543272872,3143.1898011996855,0
1836,78,7.866189753813424,3323.297060736663,0
1837,78,8.179529859910073,3626.532838560614,0
1838,78,8.685144847994652,3772.2848671537254,0
1839,79,8.951256538135565,3689.386760936913,0
1840,79,9.443426731037666,3990.1688961786986,0
1841,79,9.474415940810342,3308.174074961736,0
1842,80,9.19942247725716,3028.9750426393193,0
1843,80,9.216125198829662,3466.1883942279046,0
1844,80,9.212477352413572,3211.6172246420238,0
1845,81,9.133939986918797,3019.184969879994,0
1846,81,9.183223151901451,3262.411019192891,0
1847,81,9.03279101090635,2919.8093203667454,0
1848,81,9.05765872606145,2966.762496776758,0
1849,81,8.953677164222643,2855.0478122662043,0
1850,81,8.755172721200047,2401.9584250771113,0
1851,82,8.527893630336902,2880.8031951318785,0
1852,82,8.498585389277853,3164.0239751982276,0
1853,82,8.87030436036449,4096.9847634031175,0
1854,83,9.28162051882208,3812.8795742791867,0
1855,83,9.514770852640616,3399.4784557401063,0
1856,83,9.858861725952828,3774.0881364854076,0
1857,84,10.145297651743814,3959.287730219884,0
1858,84,10.340362739581193,3674.7639599018576,0
1859,84,10.403816680884066,3445.14308262935,0
1860,84,10.402631281504146,3170.609212989338,0
1861,83,10.440237448034566,3437.6081611238965,0
1862,83,10.504501270683013,3651.77427895597,0
1863,84,10.504881476369274,4127.771036843042,0
1864,83,10.632875974249385,3777.5764146796932,0
1865,83,10.784471944886555,3982.6472946429276,0
1866,84,10.707678980386788,3652.4817925843768,0
1867,84,10.564650907267524,3612.184329036879,0
1868,84,10.398244392212794,3127.031577822074,0
1869,85,10.031501267850746,3064.231224949425,0
1870,85,9.900336047163492,2729.8187680962565,0
1871,85,9.76220568272367,2680.3787413882565,0
1872,86,9.35407530678338,2742.436726095119,0
1873,85,9.143132961786725,3252.0391086608597,0
1874,83,9.176105801204393,2772.6325974529996,0
1875,83,9.052337287859128,3122.613238487629,0
1876,83,9.355629036146544,3300.727918622074,0
1877,83,9.624776993958202,3334.6478586619633,0
1878,84,9.577316403228304,2935.9243605122165,0
1879,83,9.59125472071273,3281.431773197387,0
1880,83,9.484888688675111,2925.8398699179606,0
1881,83,9.19527093226344,2921.8916470341387,0
1882,82,8.93439725407798,2754.2885991281614,0
1883,82,8.910592352284011,2740.023044814823,0
1884,82,8.558649531917938,2394.722643559985,0
1885,82,8.414933086231173,2499.2140195454213,0
1886,82,8.198209615933798,2274.647399251283,0
1887,81,7.618813404144338,2292.8278700465667,0
1888,81,7.618812922270509,2526.2612738758703,0
1889,81,7.780808233467054,2749.0068591033014,0
1890,82,7.825318639384507,2627.415772862312,0
1891,82,8.078123809328016,2880.3025225322094,0
1892,82,8.322155058662617,2847.4906690686307,0
1893,83,8.517189383008661,3003.1125255881816,0
1894,83,8.473050474249128,2656.1830384865075,0
1895,83,8.32204719824064,2563.6990289150185,0
1896,84,8.267901760720813,2707.26543836405,0
1897,83,8.428585593550526,3111.5901808348926,0
1898,82,8.496918643017096,2975.741055981415,0
1899,82,8.712164429421694,3551.7989855104433,0
1900,81,8.825212928202843,3558.581848795708,0
1901,80,8.569376558449523,2739.0281048285065,0
1902,81,8.539837493469634,3002.836318356445,0
1903,81,8.478309648225233,2923.9603518849713,0
1904,81,8.582699473574852,2772.7782230923144,0
1905,79,8.398012922067212,2554.4729430833463,0
1906,77,8.012854633475401,2174.805115274563,0
1907,77,8.048696158057183,2917.041572460816,0
1908,78,7.872489547880704,2403.7593330985246,0
1909,77,7.989917981079673,2528.562164191628,0
1910,77,8.0295691621912,2564.411357227261,0
1911,78,8.08349224503242,2777.6729618249587,0
